f,2dsth,2dstp,2dsts,3dst,WT
164.5,0.485384063,1.520898268,0.633275722,0.961104612,1.157059537
165,0.478003822,1.521165315,0.647880406,0.982668842,1.15826563
165.5,0.470623581,1.521432363,0.628599459,1.004233072,1.159471722
166,0.46324334,1.52169941,0.609318512,1.025797302,1.160677815
166.5,0.455863099,1.521966458,0.590037566,1.047361532,1.161883907
167,0.448482858,1.522233505,0.570756619,1.068925762,1.16309
167.5,0.441102617,1.522500553,0.551475673,1.090489992,1.164296092
168,0.43488028,1.522767601,0.533592853,1.112054222,1.165502185
168.5,0.440316584,1.523034648,0.529787431,1.133618452,1.166708277
169,0.445752889,1.523301696,0.525982008,1.155182682,1.16791437
169.5,0.451189193,1.461941864,0.522176586,1.152094644,1.169120463
170,0.456625498,1.37568583,0.518371163,1.139047514,1.170326555
170.5,0.462061802,1.289429795,0.514565741,1.126000383,1.171532648
171,0.467498107,1.20317376,0.510760318,1.112953252,1.17273874
171.5,0.472934412,1.116917726,0.506954896,1.099906121,1.173944833
172,0.478370716,1.030661691,0.503149473,1.08685899,1.175150925
172.5,0.474017536,0.944405656,0.499344051,1.073811859,1.176357018
173,0.466688556,0.858149621,0.495538628,1.060764728,1.17756311
173.5,0.459359575,0.771893587,0.491733206,1.055157587,1.178769203
174,0.452030595,0.685637552,0.487927783,1.061246312,1.179975295
174.5,0.444701615,0.599381517,0.484122361,1.067335037,1.181181388
175,0.437372635,0.513125483,0.480316938,1.073423762,1.182387481
175.5,0.430043654,0.426869448,0.476511516,1.079512487,1.183593573
176,0.422714674,0.340613413,0.472706093,1.085601212,1.184799666
176.5,0.415385694,0.254357378,0.468900671,1.086363886,1.186005758
177,0.408056714,0.168101344,0.465095248,1.080444329,1.187211851
177.5,0.402350327,0.091319006,0.4639947,1.074524772,1.188417943
178,0.419855411,0.150059512,0.501587834,1.068605214,1.189624036
178.5,0.437360495,0.208800018,0.539180969,1.062685657,1.190830128
179,0.454865579,0.267540524,0.576774103,1.056766099,1.192036221
179.5,0.472370663,0.32628103,0.614367238,1.050846542,1.193242313
180,0.489875747,0.385021536,0.651960372,1.044926984,1.194448406
180.5,0.507380831,0.443762042,0.689553507,1.039007427,1.195654499
181,0.524885915,0.502502548,0.727146641,1.03308787,1.196860591
181.5,0.542390999,0.561243054,0.764739776,1.027168312,1.198066684
182,0.559896083,0.61998356,0.802332911,1.043314458,1.199272776
182.5,0.577401167,0.678724066,0.839926045,1.067133631,1.200478869
183,0.594906251,0.737464572,0.87751918,1.090952804,1.201684961
183.5,0.607380418,0.796205078,0.915112314,1.114771976,1.202891054
184,0.596105068,0.854945584,0.952705449,1.138591149,1.204097146
184.5,0.584829718,0.91368609,0.909980963,1.162410322,1.205303239
185,0.573554369,0.972426596,0.866091803,1.186229494,1.206509331
185.5,0.562279019,1.02334075,0.822202642,1.210048667,1.207715424
186,0.551003669,1.069200947,0.778313481,1.23386784,1.208921517
186.5,0.53972832,1.115061144,0.73442432,1.257687012,1.210127609
187,0.52845297,1.160921341,0.69053516,1.281506185,1.211333702
187.5,0.51717762,1.206781538,0.646645999,1.305325358,1.212539794
188,0.505902271,1.252641734,0.602756838,1.32914453,1.213745887
188.5,0.494626921,1.298501931,0.558867678,1.352963703,1.214951979
189,0.483351571,1.344362128,0.514978517,1.376782876,1.216158072
189.5,0.472076222,1.390222325,0.471089356,1.400602048,1.217364164
190,0.460800872,1.436082522,0.434105739,1.424421221,1.218570257
190.5,0.449525522,1.481942719,0.462857882,1.448240394,1.219776349
191,0.438250173,1.527802916,0.491610024,1.472059566,1.220982442
191.5,0.426974823,1.573663113,0.520362167,1.495878739,1.222188534
192,0.415699473,1.61952331,0.54911431,1.519697912,1.223394627
192.5,0.404424124,1.665383507,0.577866452,1.531623782,1.22460072
193,0.393148774,1.703258188,0.606618595,1.520348433,1.225806812
193.5,0.381873424,1.695809257,0.635370737,1.509073083,1.227012905
194,0.370598075,1.688360325,0.60652234,1.497797733,1.228218997
194.5,0.374985096,1.680911394,0.575317614,1.486522384,1.22942509
195,0.384005378,1.673462463,0.544112888,1.475247034,1.230631182
195.5,0.393025661,1.666013532,0.512908162,1.463971684,1.231837275
196,0.402045943,1.6585646,0.481703436,1.452696335,1.233043367
196.5,0.411066225,1.651115669,0.45049871,1.441420985,1.23424946
197,0.420086508,1.643666738,0.419293984,1.430145636,1.235455552
197.5,0.42910679,1.636217807,0.388089258,1.418870286,1.236661645
198,0.438127072,1.628768875,0.356884532,1.425952641,1.237867738
198.5,0.447147355,1.621319944,0.325679806,1.443480586,1.23907383
199,0.456167637,1.613871013,0.29447508,1.461008531,1.240279923
199.5,0.46518792,1.606422082,0.267966769,1.478536476,1.241486015
200,0.474208202,1.59897315,0.303695533,1.496064421,1.242692108
200.5,0.483228484,1.591524219,0.339424298,1.513592365,1.24256945
201,0.492248767,1.584075288,0.375153062,1.53112031,1.242267431
201.5,0.501269049,1.576626357,0.410881827,1.548648255,1.241965412
202,0.510289332,1.569177426,0.446610591,1.5661762,1.241663393
202.5,0.519309614,1.561728494,0.482339356,1.583704145,1.241361374
203,0.528329896,1.554279563,0.51806812,1.60123209,1.241059355
203.5,0.537350179,1.546830632,0.553796884,1.618760035,1.240757335
204,0.546370461,1.539381701,0.589525649,1.636287979,1.240455316
204.5,0.555390743,1.531932769,0.625254413,1.630744658,1.240153297
205,0.554228055,1.524483838,0.660983178,1.60689715,1.239851278
205.5,0.535623731,1.517034907,0.696711942,1.583049642,1.239549259
206,0.517019408,1.509585976,0.732440706,1.559202135,1.239247239
206.5,0.498415084,1.502137044,0.768169471,1.535354627,1.23894522
207,0.479810761,1.494688113,0.748541801,1.511507119,1.238643201
207.5,0.461206438,1.487239182,0.715199144,1.487659612,1.238341182
208,0.442602114,1.479790251,0.681856488,1.463812104,1.238039163
208.5,0.423997791,1.472341319,0.648513831,1.439964597,1.237737144
209,0.405393467,1.464892388,0.615171174,1.416117089,1.237435124
209.5,0.386789144,1.457443457,0.581828518,1.392269581,1.237133105
